Step,ObjectName,Description,Action,Input,Condition,Reference
1,Webservice,"Set End Point ",setEndPoint,@http://dummy.restapiexample.com/api/v1/create,,
2,Webservice,"Post Rest Request ",postRestRequest,"{ 
   ""name"":""{Post:Name}"",
   ""salary"":""{Post:Salary}"",
   ""age"":""{Post:Age}""
}",,
3,Webservice,"Assert Response Code ",assertResponseCode,@200,,
4,Webservice,"Assert JSON Element Equals ",assertJSONelementEquals,Post:Name,$.name,
5,Webservice,"Store JSON Element In DataSheet ",storeJSONelementInDataSheet,Get:CustomerID,$.id,
6,Webservice,"Close the connection ",closeConnection,,,
//7,********************************************,,,,,
8,Webservice,"Set End Point ",setEndPoint,@http://dummy.restapiexample.com/api/v1/employee/{Get:CustomerID},,
9,Webservice,"GET Rest Request ",getRestRequest,,,
10,Webservice,"Assert Response Code ",assertResponseCode,@200,,
11,Webservice,"Close the connection ",closeConnection,,,
//12,********************************************,,,,,
13,Webservice,"Set End Point ",setEndPoint,@http://dummy.restapiexample.com/api/v1/update/{Get:CustomerID},,
14,Webservice,"PUT Rest Request ",putRestRequest,Put:Payload,,
15,Webservice,"Store Response Message In DataSheet ",storeResponseBodyInDataSheet,Put:ResponseBody,,
16,Webservice,"Assert Response Code ",assertResponseCode,@200,,
17,Webservice,Store JSON Element,storeJSONelement,@$.name,%name%,
18,Webservice,"Assert JSON Element Equals ",assertJSONelementEquals,Put:Salary,$.salary,
19,Webservice,"Close the connection ",closeConnection,,,
//20,********************************************,,,,,
21,Webservice,"Set End Point ",setEndPoint,@http://dummy.restapiexample.com/api/v1/employee/{Get:CustomerID},,
22,Webservice,"GET Rest Request ",getRestRequest,,,
23,Webservice,"Assert Response Code ",assertResponseCode,@200,,
24,Webservice,"Close the connection ",closeConnection,,,
//25,********************************************,,,,,
26,Webservice,"Set End Point ",setEndPoint,@http://dummy.restapiexample.com/api/v1/delete/{Get:CustomerID},,
27,Webservice,"Put Rest Request ",deleteRestRequest,,,
28,Webservice,"Store Response Message In DataSheet ",storeResponseBodyInDataSheet,Delete:Response,,
29,Webservice,"Close the connection ",closeConnection,,,
